split,source_xml_file,source_route_id,source_route_ordinal,map,weather_group,old_split,anchor_polyline_m,dense_length_m,length_bin,curve_bin,sharp_turn_regions_r_lt_30m,very_sharp_regions_r_lt_15m,grade_bin,p95_abs_grade,junction_bin,junction_fraction,planner_detour,dense_to_anchor_ratio,loop_route
train,0325_3bangwan.xml,1,1,0325_3,bangwan,val,379.4511413574219,468.94217479228973,medium_200_500m,no_sharp_region,0,0,low_grade,0.01358070180758767,medium_junction,0.42677824267782427,False,1.235843363429423,False
train,0325_3bangwan.xml,3,2,0325_3,bangwan,train,596.531005859375,662.9314622879028,long_500_1000m,no_sharp_region,0,0,low_grade,0.013386718597805877,low_junction,0.17804154302670624,False,1.1113109893305042,False
train,0325_3bangwan.xml,5,4,0325_3,bangwan,train,388.91156005859375,490.83692014217377,medium_200_500m,no_sharp_region,0,0,low_grade,0.027648778258347106,medium_junction,0.536,False,1.2620785046045528,False
train,0325_3bangwan.xml,6,5,0325_3,bangwan,train,384.55810546875,480.83641970157623,medium_200_500m,no_sharp_region,0,0,low_grade,0.02764914978788581,medium_junction,0.5469387755102041,False,1.2503609021983026,False
train,0325_3bangwan.xml,7,6,0325_3,bangwan,train,379.550537109375,379.06932759284973,medium_200_500m,no_sharp_region,0,0,medium_grade,0.0819857211425899,medium_junction,0.328042328042328,False,0.9987321595690785,False
train,0325_3bangwan.xml,10,9,0325_3,bangwan,train,50.912986755371094,66.34701824188232,short_lt_200m,multiple_sharp_regions,2,2,low_grade,0.025772843585662685,medium_junction,0.41025641025641024,False,1.3031452772682406,False
train,0325_3bangwan.xml,11,10,0325_3,bangwan,train,68.05925750732422,89.97520589828491,short_lt_200m,multiple_sharp_regions,2,0,low_grade,0.012495501603234175,medium_junction,0.4473684210526316,False,1.3220127458575668,False
train,0325_3bangwan.xml,12,11,0325_3,bangwan,train,111.46635437011719,556.5859204530716,short_lt_200m,no_sharp_region,0,0,low_grade,0.0,low_junction,0.0,True,4.993308730677261,False
train,0325_3bangwan.xml,13,12,0325_3,bangwan,train,43.67136764526367,572.7578337192535,short_lt_200m,one_sharp_region,1,0,low_grade,0.0,low_junction,0.049342105263157895,True,13.115179684128151,False
train,0325_3bangwan.xml,15,14,0325_3,bangwan,train,105.46736907958984,122.13824450969696,short_lt_200m,one_sharp_region,1,0,low_grade,8.630114118249278e-06,high_junction,0.6,False,1.1580666662645829,False
train,0325_3bangwan.xml,16,15,0325_3,bangwan,train,911.7737426757812,912.8450448513031,long_500_1000m,no_sharp_region,0,0,low_grade,0.00894931737473805,low_junction,0.041758241758241756,False,1.001174964934149,False
